option_string,category,subcategory,tags
Do you feel nauseous?,Symptom,Nausea,
Have you vomited?,Symptom,Vomiting,
Do you have a stiff neck?,Symptom,NeckStiff,
Do you have double vision?,Symptom,Diplopia,
Are there any changes to your vision?,Symptom,VisualChange,
Do lights make your pain worse?,Symptom,Photophobia,
Do you have a runny nose?,Symptom,Rhinorrhoea,
Do you have a cough?,Symptom,Cough,
Do you have a headache?,Symptom,Headache,
Are your eyes teary?,Symptom,Lacrimation,
Have you been sick recently?,Symptom,RecentlyIll,
Have you been in contact with anyone sick?,Symptom,SickContact,close contact sick contact
Have you been travelling recently?,Symptom,Travel,have you been overseas flights plane country
Do you have a fever?,Symptom,Fever,
Have you had any blood in your stools?,Symptom,BloodyStools,gi bleeding poo melaena melena bleeding per rectum
Do you have a rash?,Symptom,Rash,
Have you had any changes to your bowel habits?,Symptom,BowelHabits,diarrhoea constipation diarrhea constipated frequency bowel motions go to the toilet poo 
Have you noticed any pain when you urinate?,Symptom,Dysuria,dysuria pain on urination pee go to the toilet 
Do you have any chest pain?,Symptom,ChestPain,
Do you feel short of breath?,Symptom,Dyspnoea,short of breath sob soboe dyspnoea dyspnea
Do you feel like your heartbeat is abnormal?,Symptom,Palpitations,palpitations
Have your ankles been swollen?,Symptom,AnkleSwelling,
Do you have pain in your legs when you walk?,Symptom,IntermittentClaudication,intermittent claudication
Do you feel short of breath when you lie down?,Symptom,Orthopnoea,orthopnoea
Do you wake up at night gasping for breath?,Symptom,Pnd,pnd paroxysmal nocturnal dyspnoea
Have you fainted?,Symptom,Loc,syncope
Have you lost consciousness?,Symptom,Loc,syncope
Did you have a seizure?,Symptom,Seizure,
Do you feel fatigued?,Symptom,Fatigue,
Do you feel tired?,Symptom,Fatigue,
Have you coughed up any blood?,Symptom,Haemoptysis,
Have you coughed up any sputum?,Symptom,Sputum,
Do you have a sore throat?,Symptom,SoreThroat,
Do you feel sweaty?,Symptom,Diaphoresis,
Do you feel any pain when you chew?,Symptom,JawClaudication,
How is your vision?,Symptom,VisualChange,
Have you lost weight recently?,Symptom,WeightLoss,have you noticed any weight loss weight change
Have you noticed any blood in your urine?,Symptom,BloodyUrine,haematuria hematuria
Have you been incontinent of urine?,Symptom,UrinaryIncontinence,incontinence frequency urge dribble
When did your symptoms start?,SymptomFeature,When,
Did anything happen around the time your symptoms started?,SymptomFeature,Precipitants,precipitate what were you doing when start
How severe are your symptoms?,SymptomFeature,Quantity,
Does anything make it better?,SymptomFeature,Alleviating,
Does anything make it worse?,SymptomFeature,Aggravating,
Have you ever had these symtoms before?,SymptomFeature,Before,
